satisfaction_level,last_evaluation,project_count,average_monthly_hours,time_in_company,work_accident,emp_left,promotion_last_5years,sales,salary
0.62,0.9,4,155,4,0,0,0,sales,low
0.52,0.51,3,213,4,0,0,0,support,low
0.52,0.78,4,206,2,0,0,0,marketing,medium
0.66,0.63,6,223,6,0,0,0,sales,medium
0.35,0.8,3,137,5,0,0,0,hr,low
0.93,0.99,4,136,4,0,0,0,hr,low
0.77,0.67,3,186,2,0,0,0,technical,low
0.77,0.93,5,182,4,0,0,0,support,medium
0.69,0.82,4,208,2,0,0,0,support,medium
0.57,0.6,3,202,3,0,0,0,technical,medium
0.79,0.48,4,184,5,1,0,0,IT,low
0.96,0.69,3,214,2,1,0,0,IT,low
0.73,0.69,4,161,3,0,0,0,IT,low
0.6,0.99,3,187,2,0,0,0,RandD,low
0.97,0.58,5,156,2,1,0,0,RandD,low
0.5,0.7,3,274,3,0,0,0,marketing,low
0.93,0.98,4,160,3,0,0,0,sales,low
0.3,0.7,5,280,4,1,0,0,accounting,low
0.53,0.67,4,167,2,0,0,0,management,low
0.99,0.39,6,214,5,1,0,0,sales,low
0.82,0.69,4,262,2,0,0,0,sales,low
0.32,0.81,2,249,3,0,0,0,accounting,low
0.93,0.86,4,219,3,0,0,0,accounting,low
0.42,0.73,4,208,5,0,0,0,accounting,low
0.22,0.44,3,166,6,0,0,0,hr,low
0.97,0.65,3,219,2,0,0,0,technical,low
0.83,0.93,4,261,2,0,0,0,support,medium
0.88,0.59,5,230,3,0,0,0,support,medium
0.75,0.7,5,269,3,0,0,0,support,medium
0.55,0.82,2,197,4,0,0,0,technical,low
0.99,0.84,5,138,2,0,0,0,IT,medium
0.95,0.61,3,267,2,0,0,0,RandD,low
0.24,0.55,5,208,5,0,0,0,RandD,low
0.67,0.61,4,140,2,0,0,0,sales,low
0.75,0.58,4,270,3,0,0,0,accounting,low
0.93,0.48,3,147,3,0,0,0,support,low
0.51,0.53,3,156,3,0,0,0,management,low
0.72,0.63,4,241,4,1,0,0,marketing,medium
0.66,0.52,3,149,4,1,0,0,sales,medium
0.5,0.59,4,192,2,0,0,0,sales,medium
0.88,0.68,4,274,4,0,0,0,sales,medium
0.43,0.63,3,156,3,0,0,0,sales,medium
0.95,0.79,4,174,3,0,0,0,accounting,low
0.95,0.71,3,251,2,1,0,0,hr,low
0.74,0.86,3,221,2,0,0,0,support,medium
0.8,0.69,3,164,3,0,0,0,support,medium
0.49,0.95,4,181,3,0,0,0,support,medium
0.57,0.61,3,243,3,0,0,0,IT,medium
0.9,0.69,4,174,2,0,0,0,product_mng,low
0.48,0.59,5,235,3,0,0,0,product_mng,low
0.85,0.82,6,141,5,0,0,0,RandD,low
0.64,0.42,5,283,5,0,0,0,marketing,low
0.48,0.54,2,144,3,0,0,0,accounting,low
0.98,0.57,3,198,3,0,0,0,sales,medium
0.46,0.57,4,275,3,0,0,0,sales,high
0.81,0.66,3,181,2,1,0,0,sales,medium
0.34,0.57,4,152,3,1,0,0,accounting,low
0.17,0.76,4,280,5,0,0,0,hr,low
0.49,0.61,5,133,3,0,0,0,technical,low
0.49,0.58,3,136,4,1,0,0,technical,low
0.74,0.63,3,231,3,0,0,0,technical,low
0.91,0.98,3,259,4,0,0,0,technical,low
0.71,0.66,3,238,2,0,0,0,technical,low
0.96,0.82,4,274,3,0,0,0,support,medium
0.49,0.71,3,196,3,0,0,0,RandD,low
0.99,0.67,5,153,2,0,0,0,RandD,low
0.81,0.8,4,229,2,0,0,0,sales,medium
0.88,0.74,5,245,2,0,0,0,sales,medium
0.21,0.44,4,163,6,0,0,0,sales,high
0.54,0.5,2,123,4,1,0,0,accounting,low
0.86,0.55,5,219,2,0,0,0,technical,medium
0.71,0.62,3,258,2,0,0,0,technical,medium
0.84,0.37,5,186,2,0,0,0,technical,medium
0.93,0.77,5,106,5,0,0,0,technical,medium
0.75,0.96,3,252,3,0,0,0,technical,medium
0.57,0.82,5,218,3,0,0,0,support,medium
0.77,0.62,3,218,2,0,0,0,support,medium
0.84,0.49,4,178,3,0,0,0,support,medium
0.95,0.86,5,143,3,0,0,0,technical,medium
0.97,0.85,4,219,3,0,0,0,technical,medium
0.55,0.63,4,218,2,0,0,0,management,medium
0.49,0.58,5,186,2,0,0,0,IT,high
0.57,0.65,5,177,2,0,0,0,IT,high
0.89,0.81,4,228,4,0,0,0,IT,high
0.66,0.59,3,204,3,0,0,0,product_mng,high
0.18,0.52,5,185,6,0,0,0,product_mng,high
0.67,0.55,3,217,2,0,0,0,RandD,high
0.57,0.6,3,218,3,0,0,0,sales,low
0.95,0.98,5,155,3,0,0,0,accounting,low
0.7,0.88,3,166,5,0,0,0,technical,low
0.52,0.95,5,234,3,0,0,0,marketing,low
0.34,0.63,5,248,3,0,0,0,sales,low
0.58,0.91,4,173,4,0,0,0,sales,low
0.56,0.57,3,143,2,0,0,0,sales,medium
0.91,0.42,2,142,3,1,0,0,sales,medium
0.17,0.93,5,183,5,0,0,0,accounting,high
0.48,0.61,3,223,3,1,0,0,support,medium
0.66,0.8,4,183,2,1,0,0,technical,medium
0.93,0.65,4,212,4,0,0,0,IT,medium
0.63,0.86,3,245,2,0,0,0,marketing,low
0.54,0.5,4,224,3,0,0,0,marketing,low
0.79,0.53,2,217,2,0,0,0,sales,medium
0.82,0.75,3,230,4,1,0,0,accounting,medium
0.99,0.73,5,197,4,1,0,0,technical,low
1,0.88,4,191,4,0,0,0,technical,low
0.82,0.99,3,195,2,0,0,0,support,high
0.45,0.39,4,275,3,0,0,0,IT,medium
0.93,0.89,4,209,2,0,0,0,RandD,medium
0.71,0.39,3,261,3,0,0,0,RandD,medium
0.78,0.96,4,111,2,0,0,0,sales,high
0.64,0.83,3,188,4,0,0,0,sales,low
0.97,0.52,4,231,3,0,0,0,sales,low
0.91,0.85,3,244,3,1,0,0,sales,medium
0.13,0.67,5,234,6,0,0,0,sales,medium
0.81,0.7,4,219,2,1,0,0,hr,medium
0.58,0.91,3,223,2,0,0,0,technical,low
0.56,0.75,4,249,3,0,0,0,support,low
0.85,0.97,3,256,3,0,0,0,support,low
0.84,0.97,6,223,2,0,0,0,technical,medium
0.79,0.56,6,205,4,1,0,0,IT,medium
0.83,0.84,3,267,3,0,0,0,product_mng,high
0.6,0.52,4,207,2,1,0,0,RandD,medium
0.15,0.36,5,159,2,0,0,0,accounting,low
0.86,0.77,3,271,3,0,0,0,management,low
0.9,0.99,4,190,2,0,0,0,sales,low
0.74,0.5,4,216,3,0,0,0,sales,medium
0.86,0.87,3,205,4,0,0,0,hr,low
0.63,0.54,3,145,2,1,0,0,technical,low
0.71,0.75,4,272,4,0,0,0,technical,low
0.8,0.97,5,271,4,0,0,0,support,low
0.63,0.8,3,243,3,0,0,0,technical,medium
0.92,0.93,4,247,2,0,0,0,management,medium
0.66,0.87,3,186,2,0,0,0,IT,medium
0.75,0.92,3,192,3,0,0,0,product_mng,medium
0.21,0.42,4,269,4,1,0,0,RandD,medium
0.66,0.57,3,161,2,1,0,0,RandD,medium
0.72,0.96,3,143,3,0,0,0,sales,low
0.5,0.62,4,166,3,1,0,0,support,low
0.15,0.76,5,277,4,0,0,0,marketing,low
0.79,0.67,4,267,3,0,0,0,sales,low
0.67,0.84,6,250,2,0,0,0,sales,low
0.93,0.84,3,237,4,1,0,0,sales,low
0.57,0.92,6,267,4,0,0,0,sales,medium
0.71,0.77,4,192,4,0,0,0,sales,medium
0.9,0.74,4,218,2,1,0,0,sales,medium
0.58,0.61,4,210,3,0,0,0,sales,medium
0.8,0.7,6,231,4,0,0,0,technical,medium
0.75,0.66,4,202,2,0,0,0,support,low
0.95,0.4,5,286,4,0,0,0,support,low
0.49,0.84,5,193,3,0,0,0,product_mng,medium
0.62,0.91,3,133,3,0,0,0,RandD,medium
0.84,0.85,4,246,2,0,0,0,marketing,low
1,0.53,3,142,3,0,0,0,sales,low
0.72,0.76,4,144,3,1,0,0,accounting,low
0.66,0.75,6,100,4,1,0,0,support,low
0.77,0.86,5,282,4,0,0,0,sales,low
0.76,0.8,2,219,4,1,0,0,sales,low
0.58,0.62,3,169,2,0,0,0,sales,medium
0.75,1,3,102,3,0,0,0,accounting,medium
0.71,0.77,2,255,3,0,0,0,support,medium
0.95,0.49,4,269,4,0,0,0,support,medium
0.24,0.94,4,146,4,0,0,0,product_mng,medium
0.69,0.53,4,281,4,0,0,0,product_mng,medium
0.64,0.64,3,263,3,0,0,0,marketing,high
0.71,0.87,5,173,3,0,0,0,sales,low
0.61,0.59,3,237,2,0,0,0,technical,high
0.48,0.59,2,179,2,0,0,0,technical,low
0.91,0.65,5,174,2,0,0,0,technical,medium
0.21,0.37,4,129,4,0,0,0,product_mng,medium
0.9,0.66,3,261,3,1,0,0,product_mng,medium
0.66,0.64,4,204,2,0,0,0,RandD,low
0.16,0.86,2,215,2,0,0,0,RandD,medium
0.69,0.84,3,253,2,0,0,0,technical,medium
0.91,0.91,3,167,3,0,0,0,marketing,medium
0.55,0.77,3,256,3,1,0,0,sales,low
0.54,0.48,3,152,2,0,0,0,sales,low
0.54,0.8,3,232,2,0,0,0,accounting,high
0.8,0.91,3,246,3,0,0,0,hr,medium
0.6,0.81,2,214,3,0,0,0,hr,high
0.7,0.71,5,269,3,0,0,0,technical,low
0.9,0.94,4,231,3,0,0,0,technical,medium
0.8,0.78,3,175,3,0,0,0,technical,medium
0.51,0.6,5,175,3,0,0,0,technical,medium
0.86,0.96,5,238,5,0,0,0,technical,low
0.79,0.97,5,187,3,0,0,0,support,low
0.48,0.65,3,199,2,0,0,0,technical,low
0.49,0.48,4,247,3,0,0,0,RandD,medium
0.63,0.62,3,183,3,0,0,0,RandD,medium
0.83,0.8,4,274,3,0,0,0,RandD,high
0.62,0.78,4,261,2,0,0,0,marketing,low
0.28,0.38,5,139,4,0,0,0,support,medium
0.37,0.88,4,155,3,0,0,0,sales,medium
0.81,0.81,5,215,2,0,0,0,sales,low
0.19,0.5,6,143,5,1,0,0,sales,low
0.26,0.69,2,168,5,0,0,0,accounting,medium
0.75,0.57,5,162,3,0,0,0,accounting,medium
0.65,0.55,5,261,3,1,0,0,technical,medium
0.53,0.5,6,264,6,0,0,0,technical,low
0.88,0.87,5,257,3,0,0,0,IT,medium
0.83,0.54,4,219,3,0,0,0,product_mng,medium
0.92,0.69,4,149,6,1,0,0,RandD,medium
0.63,0.5,4,235,3,0,0,0,RandD,medium
0.76,0.52,3,248,3,0,0,0,RandD,medium
0.42,0.56,2,103,3,1,0,0,marketing,medium
0.85,0.82,3,153,3,1,0,0,sales,low
0.84,0.76,5,172,5,1,0,0,technical,medium
0.95,0.81,5,120,3,0,0,0,marketing,low
0.73,0.78,5,150,3,0,0,0,sales,low
0.67,0.72,4,159,2,0,0,0,sales,low
0.25,0.97,3,158,3,0,0,0,sales,low
0.64,0.95,4,199,4,0,0,0,accounting,medium
0.76,0.62,4,157,3,0,0,0,accounting,medium
0.69,0.67,3,178,2,0,0,0,hr,medium
0.86,0.83,5,208,2,1,0,0,hr,medium
0.73,0.62,4,210,4,0,0,0,technical,medium
0.55,0.57,3,266,2,0,0,0,technical,medium
0.64,0.8,3,199,3,0,0,0,support,low
0.78,0.91,5,150,4,0,0,0,support,low
0.69,0.96,5,164,3,0,0,0,technical,low
0.54,0.91,3,151,3,0,0,0,product_mng,medium
0.82,0.58,4,202,2,0,0,0,RandD,medium
0.7,0.78,4,254,4,0,0,0,sales,low
0.59,0.57,5,257,2,0,0,0,sales,low
0.83,0.81,3,242,6,0,0,0,sales,low
0.89,0.93,4,249,3,0,0,0,sales,low
0.63,0.98,4,160,2,0,0,0,sales,medium
0.58,0.73,5,162,3,1,0,0,technical,medium
0.56,0.48,4,197,3,1,0,0,technical,high
0.8,0.79,3,217,3,0,0,0,technical,low
0.81,0.78,4,159,3,0,0,0,support,low
0.14,0.68,5,253,5,0,0,0,support,low
0.66,0.99,4,263,2,0,0,0,support,low
0.85,0.39,4,239,4,0,0,0,support,low
0.83,0.69,4,151,2,0,0,0,support,low
0.26,0.97,3,125,2,0,0,0,support,low
0.35,0.41,3,157,2,0,0,0,support,low
0.64,0.51,4,207,2,0,0,0,IT,low
0.58,0.73,4,205,4,0,0,0,IT,low
0.71,0.89,3,244,4,0,0,0,RandD,medium
0.72,0.54,3,226,2,1,0,0,sales,low
0.84,0.36,6,256,5,0,0,0,sales,low
0.68,0.81,5,266,2,0,0,0,accounting,medium
0.64,0.75,3,214,3,0,0,0,hr,medium
0.16,0.84,3,238,6,0,0,0,technical,medium
0.15,0.61,3,146,6,1,0,0,technical,medium
0.84,0.85,4,185,3,1,0,0,IT,medium
0.74,1,4,199,4,0,0,0,management,high
0.52,0.8,5,234,3,0,0,0,sales,high
0.19,0.83,3,225,4,0,0,0,sales,low
0.94,0.87,3,229,3,0,0,0,sales,low
0.62,0.62,4,136,2,0,0,0,sales,medium
0.77,0.76,2,216,3,1,0,0,accounting,medium
0.58,0.86,3,151,2,0,0,0,accounting,medium
0.98,0.66,3,150,3,0,0,0,hr,medium
0.9,0.62,4,258,3,0,0,0,technical,medium
0.9,0.74,3,260,4,0,0,0,technical,high
0.15,0.94,5,244,6,0,0,0,technical,high
0.72,0.81,4,134,2,0,0,0,support,low
0.94,0.84,3,210,2,0,0,0,support,low
0.48,0.71,2,140,3,1,0,0,support,low
0.53,0.86,3,150,3,0,0,0,support,low
0.5,0.69,5,172,2,0,0,0,IT,medium
0.69,0.69,5,160,3,0,0,0,IT,medium
0.24,0.74,5,282,3,0,0,0,IT,medium
0.81,0.9,4,165,3,0,0,0,RandD,medium
0.59,0.9,3,146,3,0,0,0,RandD,medium
0.98,0.51,3,157,3,0,0,0,marketing,medium
0.87,0.53,6,216,6,1,0,0,sales,medium
0.18,0.6,3,140,4,0,0,0,sales,low
0.86,0.48,4,153,3,0,0,0,sales,low
0.89,0.68,4,258,2,1,0,0,sales,low
0.87,0.82,4,251,3,0,0,0,sales,high
0.87,0.78,3,170,2,0,0,0,sales,low
0.71,0.99,4,238,4,1,0,0,sales,high
0.16,0.51,3,262,6,0,0,0,sales,low
0.53,0.88,3,150,3,1,0,0,accounting,high
0.74,0.94,3,132,3,0,0,0,accounting,medium
0.82,0.92,3,187,3,1,0,0,hr,medium
0.74,0.64,4,147,5,0,0,0,technical,medium
0.49,0.48,3,190,2,0,0,0,technical,medium
0.95,0.81,3,260,2,0,0,0,support,low
0.65,0.98,3,136,3,0,0,0,support,low
0.7,0.56,4,182,2,0,0,0,support,low
0.78,0.8,4,197,3,1,0,0,technical,low
0.55,0.72,3,149,3,0,0,0,management,low
0.74,0.37,6,200,3,0,0,0,product_mng,low
0.52,0.86,5,168,3,0,0,0,RandD,medium
0.56,0.81,5,274,4,0,0,0,RandD,medium
0.76,0.62,4,197,3,0,0,0,technical,low
0.89,0.55,5,194,4,0,0,0,marketing,medium
0.41,0.61,3,185,2,1,0,0,sales,medium
0.83,0.77,3,232,2,1,0,0,sales,medium
0.9,0.88,4,205,2,0,0,0,sales,low
0.4,0.59,3,207,6,0,0,0,sales,high
0.52,0.85,3,250,4,0,0,0,sales,low
0.77,0.64,3,254,3,0,0,0,accounting,medium
0.66,0.5,3,218,2,0,0,0,hr,medium
0.61,0.98,3,138,5,1,0,0,hr,medium
0.89,0.71,5,182,2,1,0,0,hr,medium
0.6,0.78,4,152,3,1,0,0,technical,medium
0.62,0.51,3,222,3,1,0,0,technical,medium
0.69,0.59,4,266,4,0,0,0,technical,medium
0.53,0.99,3,188,3,0,0,0,technical,high
0.51,0.95,4,201,3,0,0,0,technical,medium
0.95,0.81,4,263,3,0,0,0,support,medium
0.67,0.57,5,215,4,0,0,0,technical,low
0.65,0.49,5,221,2,0,0,0,management,low
0.2,0.57,4,269,5,1,0,0,IT,low
0.91,0.56,4,251,4,0,0,0,product_mng,medium
0.58,0.93,5,235,2,0,0,0,management,low
0.6,0.93,5,270,3,1,0,0,sales,low
0.84,0.97,4,253,2,1,0,0,sales,low
0.57,0.64,2,206,3,0,0,0,accounting,low
0.48,0.77,3,197,3,0,0,0,hr,medium
0.72,0.94,4,235,3,0,0,0,technical,medium
0.6,0.72,4,267,4,0,0,0,support,low
0.89,0.65,4,184,3,0,0,0,support,low
0.55,0.93,4,239,4,0,0,0,management,low
0.65,0.55,5,215,2,0,0,0,IT,low
0.59,0.98,4,198,3,0,0,0,product_mng,low
0.88,0.66,4,133,2,0,0,0,RandD,medium
0.68,1,3,148,4,1,0,0,sales,low
0.63,0.56,4,228,3,0,0,0,accounting,low
0.66,0.97,3,263,3,0,0,0,accounting,medium
0.6,0.65,5,201,2,0,0,0,technical,medium
0.9,0.62,3,254,3,0,0,0,technical,medium
0.52,0.72,2,160,2,0,0,0,technical,high
0.68,0.94,3,264,2,0,0,0,technical,low
0.76,0.79,3,161,3,0,0,0,technical,low
0.18,0.99,4,204,6,0,0,0,IT,low
0.86,0.68,4,170,2,0,0,0,IT,low
0.68,0.85,3,199,3,0,0,0,product_mng,low
0.89,0.78,4,223,3,0,0,0,product_mng,low
0.43,0.6,3,138,3,0,0,1,RandD,medium
0.95,0.96,5,175,3,1,0,1,RandD,medium
0.49,0.52,4,183,2,0,0,1,marketing,medium
0.89,0.49,5,165,6,0,0,0,sales,low
0.92,0.61,2,228,2,0,0,0,sales,low
0.53,0.74,5,237,2,0,0,1,support,medium
0.55,0.62,5,226,3,0,0,0,IT,medium
0.66,0.9,3,217,4,0,0,0,product_mng,medium
0.71,0.74,3,202,2,0,0,0,RandD,medium
0.67,0.74,3,204,3,0,0,0,RandD,medium
0.52,0.91,4,187,2,0,0,0,sales,medium
0.74,0.76,3,244,3,0,0,0,management,medium
0.69,0.84,3,227,3,1,0,0,sales,high
0.8,0.58,4,238,2,0,0,0,sales,high
0.82,0.68,3,140,2,0,0,0,sales,low
0.69,0.64,4,200,3,0,0,0,technical,medium
0.54,0.81,4,264,4,0,0,0,technical,medium
0.62,0.64,4,142,2,0,0,0,technical,low
0.62,0.53,5,169,3,0,0,0,IT,low
0.8,0.86,3,136,2,0,0,0,RandD,medium
0.78,0.49,4,222,2,0,0,0,marketing,medium
0.9,0.69,4,274,2,0,0,0,technical,medium
0.66,0.57,3,169,4,1,0,0,marketing,medium
0.73,0.78,3,166,2,0,0,0,marketing,medium
0.87,0.62,5,197,2,0,0,0,sales,low
0.62,0.87,6,169,2,1,0,0,sales,medium
0.55,0.64,3,101,2,1,0,0,sales,medium
0.58,0.72,4,259,3,0,0,0,sales,medium
0.98,0.88,5,203,5,1,0,0,sales,medium
0.97,0.79,2,272,2,0,0,0,sales,medium
0.65,0.89,4,240,3,0,0,0,sales,low
0.87,0.49,4,149,2,0,0,0,sales,low
0.99,0.44,6,104,6,0,0,0,technical,low
0.72,0.74,3,243,2,0,0,0,technical,high
0.85,0.88,3,235,2,0,0,0,technical,medium
0.58,0.61,3,205,2,0,0,0,technical,medium
0.77,0.61,4,178,2,1,0,0,support,high
0.49,0.48,4,249,3,0,0,0,support,medium
0.64,0.61,2,153,2,0,0,0,IT,low
0.37,0.61,3,186,2,0,0,0,IT,low
0.82,0.75,5,160,3,1,0,0,product_mng,high
0.69,0.9,6,224,4,0,0,1,RandD,low
0.93,0.51,3,196,2,0,0,1,RandD,medium
0.97,0.61,4,167,3,0,0,1,accounting,high
0.14,0.83,5,153,5,1,0,0,sales,medium
0.56,0.72,4,247,2,0,0,0,sales,medium
0.85,0.84,5,179,3,0,0,0,sales,low
0.58,0.98,3,146,3,0,0,0,technical,medium
1,0.8,5,162,3,1,0,0,technical,medium
0.88,0.77,4,168,4,0,0,0,support,medium
0.72,0.7,3,149,3,0,0,0,support,medium
0.41,0.54,2,190,4,0,0,0,support,low
0.66,0.95,4,183,3,0,0,0,technical,low
0.62,0.66,3,208,3,0,0,0,management,low
0.37,0.74,2,197,3,0,0,0,product_mng,low
0.95,0.57,5,216,3,0,0,0,product_mng,low
0.95,0.53,4,263,3,0,0,0,IT,low
0.27,0.69,2,177,5,0,0,0,RandD,low
0.6,0.56,4,138,3,0,0,0,RandD,low
0.77,0.74,5,263,2,0,0,0,sales,medium
0.74,0.99,5,146,2,0,0,0,sales,low
0.68,0.83,3,133,3,0,0,0,hr,low
0.57,0.57,4,141,3,0,0,0,technical,low
0.52,0.91,5,193,2,0,0,0,support,low
0.99,0.87,4,223,3,0,0,0,support,medium
0.91,0.99,3,188,3,1,0,0,support,medium
0.85,0.79,3,217,2,0,0,0,technical,medium
0.86,0.55,3,269,2,0,0,0,management,low
0.71,0.54,4,198,3,0,0,0,IT,low
0.99,0.95,4,102,5,0,0,0,IT,low
0.57,0.61,3,167,2,1,0,0,IT,low
0.62,0.58,3,192,2,0,0,0,IT,low
0.65,0.69,4,153,3,0,0,0,product_mng,low
0.59,0.65,4,163,3,1,0,0,RandD,low
0.73,0.63,4,174,3,0,0,0,accounting,low
0.38,0.54,2,112,3,0,0,0,marketing,medium
0.9,0.78,4,225,2,1,0,0,sales,medium
0.54,0.76,3,157,4,0,0,0,sales,low
0.62,0.49,3,158,2,0,0,0,sales,low
0.66,0.63,5,264,5,0,0,0,accounting,low
0.74,0.53,5,141,2,0,0,0,accounting,low
0.96,0.71,3,170,3,0,0,0,technical,low
0.77,0.88,2,169,3,0,0,0,technical,medium
0.83,0.95,3,255,3,0,0,0,technical,medium
0.28,0.51,3,124,3,0,0,0,technical,low
0.55,0.65,3,207,3,0,0,0,technical,low
0.61,0.7,4,243,3,0,0,0,RandD,low
0.74,0.84,3,206,3,0,0,0,RandD,low
0.77,0.89,5,152,3,0,0,0,support,medium
0.64,0.71,3,231,4,0,0,0,technical,medium
0.88,0.96,5,182,4,1,0,0,marketing,medium
0.67,0.36,4,97,4,0,0,0,sales,medium
0.14,0.73,5,266,6,0,0,0,sales,low
0.79,0.82,3,98,3,1,0,0,hr,low
0.92,0.62,4,266,2,0,0,0,hr,low
0.74,0.68,3,242,5,1,0,0,support,medium
0.84,0.94,4,246,2,1,0,0,support,medium
0.86,0.49,4,274,2,0,0,0,management,low
0.98,0.93,5,145,4,0,0,0,IT,low
0.61,0.73,3,165,3,1,0,0,IT,low
0.87,0.7,5,225,3,0,0,0,product_mng,medium
0.47,0.51,6,190,5,0,0,1,RandD,medium
0.75,0.74,5,231,3,0,0,1,marketing,medium
0.93,0.6,4,184,3,0,0,0,sales,medium
0.67,1,4,145,3,1,0,1,sales,medium
0.51,0.72,4,163,4,0,0,1,sales,medium
0.94,0.53,5,257,2,0,0,1,sales,medium
0.34,0.89,5,266,6,0,0,0,sales,medium
0.89,0.62,5,144,2,0,0,0,hr,low
0.76,0.5,4,245,3,0,0,0,hr,low
0.59,0.71,5,222,3,0,0,0,technical,low
0.71,0.95,3,150,2,0,0,0,technical,low
0.86,0.53,4,244,3,0,0,0,technical,medium
0.7,0.56,4,107,6,0,0,0,support,medium
0.84,0.95,4,208,3,1,0,0,support,medium
0.75,0.76,5,175,4,0,0,0,IT,low
0.76,0.77,4,223,3,0,0,0,IT,low
0.71,0.76,3,201,2,0,0,0,RandD,medium
0.93,0.61,3,166,3,0,0,0,sales,medium
0.92,0.91,3,228,2,0,0,1,marketing,medium
0.23,0.48,5,221,6,0,0,0,sales,medium
0.8,0.75,3,134,4,0,0,0,sales,medium
0.91,0.99,5,228,4,1,0,0,sales,low
0.71,0.76,3,175,2,0,0,0,sales,medium
0.21,0.6,5,249,4,0,0,0,sales,medium
0.41,0.9,6,155,2,0,0,0,accounting,medium
0.55,0.62,5,197,2,0,0,0,technical,low
0.64,0.95,3,154,4,0,0,0,technical,high
0.99,0.76,4,185,5,0,0,0,technical,low
0.85,0.49,4,142,3,0,0,0,support,medium
0.77,0.57,4,203,3,1,0,0,support,high
0.2,0.72,5,123,2,1,0,0,technical,low
0.8,0.87,4,220,2,0,0,0,IT,medium
0.62,0.92,5,149,3,0,0,0,IT,low
0.88,0.73,5,267,3,0,0,0,IT,low
0.88,0.85,4,231,3,0,0,0,product_mng,low
0.78,0.93,3,200,3,0,0,0,RandD,low
0.52,0.96,4,246,3,0,0,0,support,low
0.7,0.58,3,211,3,0,0,0,sales,medium
0.83,0.78,3,165,3,1,0,0,sales,medium
0.89,0.89,4,265,2,0,0,0,sales,medium
0.5,0.54,3,134,3,0,0,0,sales,medium
0.57,0.53,5,216,2,1,0,0,sales,medium
0.98,0.64,3,263,4,0,0,0,accounting,medium
0.75,0.48,2,284,6,0,0,0,hr,low
0.48,0.68,4,163,2,1,0,0,technical,low
0.91,0.79,5,273,4,1,0,0,support,medium
0.76,0.47,3,223,2,0,0,0,support,medium
0.5,0.38,5,175,4,0,0,0,technical,high
0.82,0.71,3,160,3,0,0,0,IT,medium
0.95,0.78,2,148,2,0,0,0,IT,low
0.83,0.56,4,269,3,0,0,0,product_mng,low
0.59,0.47,5,191,3,0,0,0,RandD,low
0.94,0.92,3,187,2,0,0,0,marketing,low
0.86,0.81,4,179,3,0,0,0,sales,medium
0.66,0.92,3,177,3,0,0,0,sales,medium
0.71,0.58,3,194,4,0,0,0,sales,low
0.59,0.94,4,136,2,0,0,0,sales,medium
0.95,0.7,6,243,3,0,0,0,sales,medium
0.73,0.66,3,244,3,0,0,0,accounting,low
0.21,0.78,4,218,6,0,0,0,technical,low
0.63,0.87,5,248,2,0,0,0,technical,low
0.8,0.79,5,240,2,0,0,0,support,low
0.81,0.59,2,236,3,0,0,0,IT,medium
0.22,0.52,5,109,4,0,0,0,product_mng,low
0.85,0.8,4,254,2,0,0,0,product_mng,low
0.73,0.5,3,208,2,0,0,0,sales,medium
0.14,0.96,3,196,5,1,0,0,sales,medium
0.56,0.4,2,255,3,0,0,0,sales,medium
0.76,0.82,4,172,3,1,0,0,sales,medium
0.64,0.61,3,221,3,0,0,0,accounting,low
0.5,0.7,5,264,2,0,0,0,technical,low
0.7,0.51,3,256,3,0,0,0,technical,low
0.84,0.93,6,166,4,0,0,0,technical,low
0.66,0.73,5,249,2,0,0,0,support,medium
0.31,0.41,2,263,3,0,0,0,management,medium
0.52,0.7,4,247,5,0,0,0,IT,medium
0.73,0.78,4,181,4,0,0,0,IT,low
0.83,0.93,6,130,5,0,0,0,RandD,low
0.68,0.43,3,161,2,1,0,0,sales,medium
0.5,0.6,5,216,3,0,0,0,sales,medium
0.16,0.7,5,257,4,0,0,0,sales,medium
0.62,0.74,4,173,2,0,0,0,sales,medium
0.62,0.72,2,180,2,1,0,0,technical,low
0.67,0.91,3,256,3,0,0,0,technical,low
0.95,0.55,5,185,2,0,0,0,support,low
0.86,0.92,3,180,2,0,0,0,support,medium
0.6,0.6,4,182,3,0,0,0,support,medium
0.54,0.69,4,168,2,0,0,0,management,low
0.72,0.66,3,256,2,0,0,0,IT,medium
0.93,0.62,4,142,2,0,0,0,IT,medium
0.42,0.46,3,128,2,1,0,0,RandD,low
0.89,0.39,6,190,3,1,0,0,RandD,medium
0.76,0.76,4,149,3,0,0,0,technical,medium
0.88,0.76,3,223,3,0,0,0,sales,medium
0.82,0.61,3,229,2,0,0,0,sales,medium
0.5,0.78,3,206,3,1,0,1,sales,high
0.84,0.78,5,172,2,0,0,1,accounting,high
0.51,0.84,4,214,2,0,0,0,technical,low
0.35,0.41,6,244,3,0,0,0,technical,low
0.44,0.48,2,226,3,0,0,0,technical,low
0.21,0.63,5,226,3,0,0,0,support,medium
0.85,0.56,5,203,3,0,0,0,management,high
0.56,0.85,5,245,3,0,0,0,IT,high
0.98,0.6,4,191,3,0,0,0,IT,low
0.16,0.81,2,159,6,1,0,0,RandD,low
0.47,0.55,2,156,2,0,0,0,management,medium
0.31,0.5,3,262,5,0,0,0,sales,medium
0.83,0.75,6,215,5,0,0,0,sales,medium
0.37,0.45,6,100,5,1,0,0,sales,medium
0.62,0.98,4,107,2,0,0,0,sales,low
